id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,Ano_Arquivo,Codigo_Estacao,timestamp,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
161347174,57de3338-5abb-11e8-911c-28924ad12c5c,-21.079,-47.515,2015-03-02 17:26:00,Brasil,SÃO PAULO,ALTINÓPOLIS,Cerrado,2015,A770,2015-03-02 17:00:00,,,,,,,,,,,,,,,,,
166783109,48c1642d-5abb-11e8-911c-28924ad12c5c,-21.486,-47.143,2015-05-21 17:26:00,Brasil,SÃO PAULO,MOCOCA,Cerrado,2015,A738,2015-05-21 17:00:00,0.0,937.9,938.4,937.9,1528.5,24.7,13.7,25.5,23.9,14.9,13.7,55.0,49.0,51.0,86.0,8.5,3.1
168061151,48e930be-5abb-11e8-911c-28924ad12c5c,-19.883,-50.615,2015-06-14 16:38:00,Brasil,SÃO PAULO,MESÓPOLIS,Mata Atlântica,2015,A733,2015-06-14 16:00:00,0.0,960.3,961.4,960.3,2478.4,29.9,15.8,30.4,28.8,17.1,15.5,48.0,42.0,42.0,277.0,10.0,5.0
168061152,48e930bf-5abb-11e8-911c-28924ad12c5c,-19.885,-50.61,2015-06-14 16:38:00,Brasil,SÃO PAULO,POPULINA,Mata Atlântica,2015,A733,2015-06-14 16:00:00,0.0,960.3,961.4,960.3,2478.4,29.9,15.8,30.4,28.8,17.1,15.5,48.0,42.0,42.0,277.0,10.0,5.0
167139709,57f03eac-5abb-11e8-911c-28924ad12c5c,-21.651,-48.65,2015-05-27 16:49:00,Brasil,SÃO PAULO,TABATINGA,Cerrado,2015,A737,2015-05-27 16:00:00,0.0,957.8,958.7,957.8,2514.3,29.8,14.3,29.8,28.5,16.5,13.9,47.0,38.0,39.0,304.0,8.5,3.2
167139710,57f03ead-5abb-11e8-911c-28924ad12c5c,-21.656,-48.631,2015-05-27 16:49:00,Brasil,SÃO PAULO,TABATINGA,Cerrado,2015,A737,2015-05-27 16:00:00,0.0,957.8,958.7,957.8,2514.3,29.8,14.3,29.8,28.5,16.5,13.9,47.0,38.0,39.0,304.0,8.5,3.2
167139712,57f03eaf-5abb-11e8-911c-28924ad12c5c,-21.658,-48.644,2015-05-27 16:49:00,Brasil,SÃO PAULO,TABATINGA,Cerrado,2015,A737,2015-05-27 16:00:00,0.0,957.8,958.7,957.8,2514.3,29.8,14.3,29.8,28.5,16.5,13.9,47.0,38.0,39.0,304.0,8.5,3.2
167139742,57f03eb0-5abb-11e8-911c-28924ad12c5c,-20.306,-50.752,2015-05-27 16:50:00,Brasil,SÃO PAULO,SANTA SALETE,Mata Atlântica,2015,A733,2015-05-27 16:00:00,0.0,962.4,963.3,962.4,2628.0,29.8,15.3,30.0,28.5,16.3,15.2,47.0,41.0,41.0,290.0,7.5,3.5
167139743,57f03eb1-5abb-11e8-911c-28924ad12c5c,-20.229,-50.766,2015-05-27 16:50:00,Brasil,SÃO PAULO,ASPÁSIA,Mata Atlântica,2015,A733,2015-05-27 16:00:00,0.0,962.4,963.3,962.4,2628.0,29.8,15.3,30.0,28.5,16.3,15.2,47.0,41.0,41.0,290.0,7.5,3.5
168005158,48e92f42-5abb-11e8-911c-28924ad12c5c,-20.964,-49.192,2015-06-13 17:33:00,Brasil,SÃO PAULO,UCHOA,Mata Atlântica,2015,A736,2015-06-13 17:00:00,0.0,952.8,954.0,952.7,1843.1,29.7,12.0,29.9,28.9,14.0,11.8,39.0,33.0,34.0,114.0,11.4,4.6
167691631,48df312e-5abb-11e8-911c-28924ad12c5c,-20.321,-50.327,2015-06-08 17:15:00,Brasil,SÃO PAULO,FERNANDÓPOLIS,Mata Atlântica,2015,A733,2015-06-08 17:00:00,0.0,963.8,964.6,963.8,1872.3,29.1,14.8,29.7,27.1,16.2,14.3,49.0,41.0,42.0,311.0,6.0,3.1
167691605,48df311a-5abb-11e8-911c-28924ad12c5c,-20.311,-50.748,2015-06-08 17:15:00,Brasil,SÃO PAULO,SANTA SALETE,Mata Atlântica,2015,A733,2015-06-08 17:00:00,0.0,963.8,964.6,963.8,1872.3,29.1,14.8,29.7,27.1,16.2,14.3,49.0,41.0,42.0,311.0,6.0,3.1
167691619,48df3125-5abb-11e8-911c-28924ad12c5c,-20.313,-50.758,2015-06-08 17:15:00,Brasil,SÃO PAULO,SANTA SALETE,Mata Atlântica,2015,A733,2015-06-08 17:00:00,0.0,963.8,964.6,963.8,1872.3,29.1,14.8,29.7,27.1,16.2,14.3,49.0,41.0,42.0,311.0,6.0,3.1
167691592,48df310f-5abb-11e8-911c-28924ad12c5c,-21.893,-48.197,2015-06-08 17:14:00,Brasil,SÃO PAULO,ARARAQUARA,Cerrado,2015,A711,2015-06-08 17:00:00,0.0,921.1,922.0,921.1,2214.5,25.1,11.5,25.9,24.7,12.7,10.5,46.0,39.0,42.0,353.0,5.2,2.2
167691601,48df3117-5abb-11e8-911c-28924ad12c5c,-23.149,-46.624,2015-06-08 17:14:00,Brasil,SÃO PAULO,ATIBAIA,Mata Atlântica,2015,A744,2015-06-08 17:00:00,,,,,,,,,,,,,,,,,
167691559,48df30f2-5abb-11e8-911c-28924ad12c5c,-23.152,-46.638,2015-06-08 17:14:00,Brasil,SÃO PAULO,ATIBAIA,Mata Atlântica,2015,A744,2015-06-08 17:00:00,,,,,,,,,,,,,,,,,
167596392,48dccf3a-5abb-11e8-911c-28924ad12c5c,-20.328,-50.331,2015-06-06 17:27:00,Brasil,SÃO PAULO,FERNANDÓPOLIS,Mata Atlântica,2015,A733,2015-06-06 17:00:00,0.0,963.6,964.3,963.6,2315.0,28.4,15.4,28.6,26.8,16.6,14.7,51.0,44.0,45.0,338.0,8.3,3.5
163690715,57e51b1e-5abb-11e8-911c-28924ad12c5c,-22.343,-47.267,2015-04-02 16:43:00,Brasil,SÃO PAULO,ARARAS,Mata Atlântica,2015,A739,2015-04-02 16:00:00,0.0,943.8,944.5,943.8,3316.3,29.3,14.6,29.6,28.2,15.6,12.9,45.0,37.0,41.0,104.0,4.3,1.7
163690716,57e51b1f-5abb-11e8-911c-28924ad12c5c,-23.933,-48.884,2015-04-02 16:43:00,Brasil,SÃO PAULO,ITAPEVA,Cerrado,2015,A714,2015-04-02 16:00:00,0.0,933.6,934.1,933.6,2644.2,25.6,16.1,26.2,23.1,17.5,15.9,67.0,54.0,56.0,125.0,7.2,2.4
164105549,487e11fe-5abb-11e8-911c-28924ad12c5c,-20.592,-49.074,2015-04-08 17:45:00,Brasil,SÃO PAULO,ALTAIR,Cerrado,2015,A748,2015-04-08 17:00:00,0.0,952.8,953.6,952.8,1767.2,29.5,17.4,29.5,28.2,19.8,16.4,59.0,47.0,48.0,244.0,2.4,0.8
164155623,487f3b4d-5abb-11e8-911c-28924ad12c5c,-20.652,-48.28,2015-04-09 16:50:00,Brasil,SÃO PAULO,MORRO AGUDO,Cerrado,2015,A748,2015-04-09 16:00:00,0.0,955.2,956.0,955.2,3111.2,29.0,18.6,29.0,26.8,19.5,17.5,62.0,52.0,54.0,81.0,3.6,1.0
164155624,487f3b4e-5abb-11e8-911c-28924ad12c5c,-21.68,-48.719,2015-04-09 16:50:00,Brasil,SÃO PAULO,ITÁPOLIS,Cerrado,2015,A737,2015-04-09 16:00:00,0.0,960.1,960.7,960.1,2029.2,26.8,16.6,27.8,26.2,19.6,16.1,63.0,53.0,54.0,101.0,4.5,1.4
164155625,487f3b4f-5abb-11e8-911c-28924ad12c5c,-21.955,-48.959,2015-04-09 16:50:00,Brasil,SÃO PAULO,IACANGA,Mata Atlântica,2015,A737,2015-04-09 16:00:00,0.0,960.1,960.7,960.1,2029.2,26.8,16.6,27.8,26.2,19.6,16.1,63.0,53.0,54.0,101.0,4.5,1.4
167797150,48e3469a-5abb-11e8-911c-28924ad12c5c,-23.062,-45.328,2015-06-10 17:01:00,Brasil,SÃO PAULO,TAUBATÉ,Mata Atlântica,2015,A728,2015-06-10 17:00:00,0.0,950.4,951.0,950.4,1856.6,26.0,9.1,26.5,25.3,11.7,8.1,42.0,33.0,35.0,307.0,6.5,2.4
